🕘️更新时间,#genre#
2025-06-06 19:18:11,http://8.138.7.223/tv/ptbtv.php

央视频道,#genre#
CCTV-1,http://8.138.7.223/tv/ptbtv.php
CCTV-1,http://tp88.cn/IPTV/fujian/pttv.php
CCTV-1,http://8.138.7.223/tv/dl/douyincdn.php?id=1
CCTV-1,http://58.243.224.242:9901/tsfile/live/1031_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-1,https://hyf000.eu.org/80947108/CCTV1-1
CCTV-1,http://140.250.221.14:4022/udp/239.21.1.120:5002
CCTV-1,http://117.57.33.143:4022/rtp/238.1.78.166:7200
CCTV-1,http://118.78.196.164:55555/rtp/226.0.2.153:9136
CCTV-1,http://222.218.122.114:8188/udp/239.81.0.102:4056
CCTV-1,http://112.66.98.104:4022/rtp/239.253.64.120:5140
CCTV-2,http://119.125.104.37:9901/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&down=1
CCTV-2,http://112.66.98.104:4022/rtp/239.253.64.195:5140
CCTV-2,http://183.162.205.235:4022/rtp/238.1.78.235:7752
CCTV-2,http://222.218.122.114:8188/udp/239.81.0.115:4056
CCTV-2,http://115.58.218.187:4000/rtp/225.1.4.74:1103
CCTV-2,http://175.8.129.182:4000/udp/239.76.246.152:1234
CCTV-2,http://xg.52sw.top/play/kzb/play.php?id=cctv2
CCTV-2,http://171.105.180.114:4022/udp/239.81.0.115:4056
CCTV-2,http://113.104.184.106:7088/udp/239.77.1.158:5146
CCTV-2,http://175.8.129.182:4000/udp/239.76.253.152:9000
CCTV-3,http://php.cqshushu.ggff.net/jzb.php?id=cctv3&公众号【医工学习日志】
CCTV-3,http://xg.52sw.top/play/kzb/play.php?id=cctv3
CCTV-3,http://121.29.141.230:4022/rtp/239.253.92.191:6057
CCTV-3,http://171.105.180.114:4022/udp/239.81.0.231:4056
CCTV-3,http://113.104.184.106:7088/udp/239.77.0.169:5146
CCTV-3,http://112.66.98.104:4022/rtp/239.253.64.244:5140
CCTV-3,http://222.218.122.114:8188/udp/239.81.0.231:4056
CCTV-3,http://115.58.218.187:4000/rtp/225.1.4.158:1194
CCTV-3,http://175.8.129.182:4000/udp/239.76.253.153:9000
CCTV-3,http://175.8.129.182:4000/udp/239.76.246.153:1234
CCTV-4,http://8.138.7.223/tv/dl/douyincdn.php?id=4
CCTV-4,http://8.138.7.223/tv/dl/careryun.php?id=6
CCTV-4,http://222.218.122.114:8188/udp/239.81.0.96:4056
CCTV-4,http://175.8.129.182:4000/udp/239.76.246.154:1234
CCTV-4,http://115.58.218.187:4000/rtp/225.1.5.30:1333
CCTV-4,http://175.8.129.182:4000/udp/239.76.253.154:9000
CCTV-4,http://171.105.180.114:4022/udp/239.81.0.96:4056
CCTV-4,http://183.162.205.235:4022/rtp/238.1.78.236:7760
CCTV-4,http://121.29.141.230:4022/rtp/239.253.92.251:6141
CCTV-4,http://118.78.196.164:55555/rtp/226.0.2.156:9160
CCTV-5,http://8.138.7.223/tv/dl/careryun.php?id=8
CCTV-5,http://175.8.129.182:4000/udp/239.76.254.214:9000
CCTV-5,https://ldcctvwbcdbd.a.bdydns.com/ldcctvwbcd/cdrmldcctv5plus_1/index.m3u8
CCTV-5,http://113.104.184.106:7088/udp/239.77.0.170:5146
CCTV-5,http://171.105.180.114:4022/udp/239.81.0.232:4056
CCTV-5,http://222.218.122.114:8188/udp/239.81.0.232:4056
CCTV-5,http://112.66.98.104:4022/rtp/239.253.64.245:5140
CCTV-5,http://115.58.218.187:4000/rtp/225.1.4.159:1195
CCTV-5,http://175.8.129.182:4000/udp/239.76.253.155:9000
CCTV-5,http://175.8.129.182:4000/udp/239.76.246.155:1234
CCTV-5+,http://113.104.184.106:7088/udp/239.77.1.31:5146
CCTV-5+,http://121.29.141.230:4022/rtp/239.253.92.82:8013
CCTV-5+,http://117.57.33.143:4022/rtp/238.1.78.237:7768
CCTV-5+,http://112.66.98.104:4022/rtp/239.253.64.100:5140
