🕘️更新时间,#genre#
2026-08-31 09:02:28,http://c.123.rr.kg/163189/cctv1

央视频道,#genre#
CCTV-1,http://c.123.rr.kg/163189/cctv1
CCTV-1,http://183.47.2.156:16883/rtp/239.77.0.129:5146
CCTV-1,http://115.171.216.40:4000/rtp/225.1.8.33:8002
CCTV-1,http://14.145.187.131:4022/rtp/239.77.1.144:5146
CCTV-1,http://115.171.216.32:4000/rtp/225.1.8.33:8002
CCTV-1,http://woc.iiiya.cn:18888/rtp/239.61.3.61:9884
CCTV-1,http://125.108.167.166:7776/rtp/233.50.201.222:5140
CCTV-1,http://125.108.166.16:7776/rtp/233.50.200.247:5140
CCTV-1,http://www.hiliu.myds.me:18088/rtp/239.254.96.96:8550
CCTV-2,https://p2.bdstatic.com/rtmp.liveshow.lss-user.baidubce.com/live/stream_bduid_6488563992_8982723413/merged_1707497046297_88536_25144_41936.m3u8
CCTV-2,http://115.171.216.40:4000/rtp/225.1.8.2:8084
CCTV-2,http://naslmd2.myqnapcloud.com:4022/rtp/239.3.1.60:8084
CCTV-2,http://125.108.166.16:7776/rtp/233.50.201.119:5140
CCTV-2,http://125.108.167.166:7776/rtp/233.50.201.119:5140
CCTV-2,http://124.112.241.196:4022/rtp/238.1.78.235:7752
CCTV-2,http://1.192.242.239:8188/rtp/239.16.20.2:10020
CCTV-2,http://123.179.62.99:4022/rtp/239.29.0.116:5000
CCTV-2,http://115.171.216.32:4000/rtp/225.1.8.2:8084
CCTV-2,http://111.196.134.175:20000/rtp/239.3.1.60:8084
CCTV-3,http://124.112.189.1:4022/rtp/238.1.78.170:7232
CCTV-3,http://125.108.167.166:7776/rtp/233.50.201.196:5140
CCTV-3,http://1.192.242.239:8188/rtp/239.16.20.3:10030
CCTV-3,http://124.112.241.196:4022/rtp/238.1.78.170:7232
CCTV-3,http://125.108.166.16:7776/rtp/233.50.201.196:5140
CCTV-3,http://115.171.216.32:4000/rtp/225.1.8.88:8000
CCTV-3,http://123.179.62.99:4022/rtp/239.29.1.133:5000
CCTV-3,http://home.amucn.net:8800/rtp/239.49.8.74:8000
CCTV-3,http://220.189.101.170:9999/rtp/233.50.201.196:5140
CCTV-4,http://124.112.189.1:4022/rtp/238.1.78.236:7760
CCTV-4,http://115.171.216.40:4000/rtp/225.1.8.4:8092
CCTV-4,http://124.112.241.196:4022/rtp/238.1.78.236:7760
CCTV-4,http://1.192.242.239:8188/rtp/239.16.20.4:10040
CCTV-4,http://123.179.62.99:4022/rtp/239.29.0.87:5000
CCTV-4,http://125.108.167.166:7776/rtp/233.50.200.101:5140
CCTV-4,http://125.108.166.16:7776/rtp/233.50.200.101:5140
CCTV-5,http://124.112.241.196:4022/rtp/238.1.78.171:7240
CCTV-5,http://124.112.189.1:4022/rtp/238.1.78.171:7240
CCTV-5,http://125.108.167.166:7776/rtp/233.50.201.108:5140
CCTV-5,http://1.192.242.239:8188/rtp/239.16.20.53:10530
CCTV-5,http://125.108.166.16:7776/rtp/233.50.201.194:5140
CCTV-5,http://123.179.62.99:4022/rtp/239.29.1.134:5000
CCTV-5,http://120.198.95.220:9901/tsfile/live/1074_1.m3u8?key=txiptv&playlive=1&down=1
CCTV-5+,https://live.264788.xyz/channel/cctv5p?streamid=98657a78f17179c4239d0009df18455c&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV-5+,http://124.112.189.1:4022/rtp/238.1.78.237:7768
CCTV-5+,http://115.171.216.40:4000/rtp/225.1.8.20:8004
CCTV-5+,http://naslmd2.myqnapcloud.com:4022/rtp/239.3.1.130:8004
CCTV-5+,http://125.108.167.166:7776/rtp/233.50.201.220:5140
CCTV-5+,http://1.192.242.239:8188/rtp/239.16.20.5:10050
CCTV-5+,http://125.108.166.16:7776/rtp/233.50.201.220:5140
CCTV-5+,http://124.112.241.196:4022/rtp/238.1.78.237:7768
